seq,region,event,priority,usefulness,stale_after,policy,send
4,E,0,0.870,0.840,5,U,1
6,G,1,0.930,0.900,5,U,1
12,E,1,0.870,0.840,5,U,1
14,G,1,0.930,0.900,5,U,1
20,E,1,0.870,0.840,5,U,1
22,G,0,0.930,0.900,5,U,1
28,E,0,0.870,0.840,5,U,1
30,G,1,0.930,0.900,5,U,1
36,E,1,0.870,0.840,5,U,1
38,G,1,0.930,0.900,5,U,1
44,E,1,0.870,0.840,5,U,1
46,G,0,0.930,0.900,5,U,1
52,E,0,0.870,0.840,5,U,1
54,G,1,0.930,0.900,5,U,1
60,E,1,0.870,0.840,5,U,1
62,G,1,0.930,0.900,5,U,1
