tx_id,node_id,role,policy,threshold_family,startup_offset_ms,expected_send_fraction,notes
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,0,0.125,Preserves successful Run 031 Condition B sparse phase relation
TXA,N01,fixed-all anchor,fixed_all,,500,1.000,Only fixed-all anchor; preserves Run 031 Condition B active anchor phase
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,medium,2750,0.500,Optimized 250 ms-grid medium lane
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,4000,0.125,Optimized 250 ms-grid sparse lane
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,strict,4250,0.250,Optimized 250 ms-grid strict lane
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,medium,7250,0.500,Optimized 250 ms-grid medium lane
