seq,region,event,priority,usefulness,stale_after,policy,send
6,G,1,0.930,0.900,5,U,1
14,G,1,0.930,0.900,5,U,1
22,G,0,0.930,0.900,5,U,1
30,G,1,0.930,0.900,5,U,1
38,G,1,0.930,0.900,5,U,1
46,G,0,0.930,0.900,5,U,1
54,G,1,0.930,0.900,5,U,1
62,G,1,0.930,0.900,5,U,1
