tx_id,node_id,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,schedule_sequence_column,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,mean_receiver_interarrival_ms,parsed_sequence_column,parsed_usefulness_column,parsed_receiver_time_column,received_packets_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row
TXA,N01,16,16,0,1.0,8.62,0.53875,,usefulness,368,0,369,71 75,2,198.51,0.539429347826087,1005.433242506812,seq,usefulness,recv_ms,23.0,12.406875,12.406875
TXB,N16,16,8,8,0.5,6.27,0.78375,,usefulness,184,0,184,22,1,144.39000000000001,0.7847282608695653,2010.896174863388,seq,usefulness,recv_ms,23.0,9.024375000000001,18.048750000000002
