tx_id,node_id,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,schedule_sequence_column,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,mean_receiver_interarrival_ms,parsed_sequence_column,parsed_usefulness_column,parsed_receiver_time_column,received_packets_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row
TXA,N01,16,16,0,1.0,8.62,0.53875,,usefulness,504,0,506,206 426 490,3,271.33000000000004,0.5383531746031747,1005.9542743538767,seq,usefulness,recv_ms,31.5,16.958125000000003,16.958125000000003
TXB,N16,16,4,12,0.25,3.46,0.865,,usefulness,127,0,127,14,1,109.92999999999999,0.8655905511811023,3999.9603174603176,seq,usefulness,recv_ms,31.75,6.8706249999999995,27.482499999999998
