tx_id,node_id,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,schedule_sequence_column,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,mean_receiver_interarrival_ms,parsed_sequence_column,parsed_usefulness_column,parsed_receiver_time_column,received_packets_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row
TXA,N01,16,16,0,1.0,8.62,0.53875,,usefulness,400,0,399,,0,215.5,0.53875,999.984962406015,seq,usefulness,recv_ms,25.0,13.46875,13.46875
TXB,N16,16,12,4,0.75,8.000000000000002,0.6666666666666669,,usefulness,299,0,298,,0,199.54000000000002,0.6673578595317726,1335.5503355704698,seq,usefulness,recv_ms,24.916666666666668,12.471250000000001,16.628333333333334
