tx_id,node_id,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,schedule_sequence_column,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,mean_receiver_interarrival_ms,parsed_sequence_column,parsed_usefulness_column,parsed_receiver_time_column,received_packets_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row
TXA,,16,16,0,1.0,8.62,0.53875,,usefulness,361,0,363,22 183 221,3,194.97000000000003,0.5400831024930749,1008.3194444444445,seq,usefulness,recv_ms,22.5625,12.185625000000002,12.185625000000002
TXB,,16,8,8,0.5,6.27,0.78375,,usefulness,176,0,181,53 62 66 83 104 155,6,138.28,0.7856818181818181,2068.542857142857,seq,usefulness,recv_ms,22.0,8.6425,17.285
