tx_id,node_id,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,schedule_sequence_column,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,mean_receiver_interarrival_ms,parsed_sequence_column,parsed_usefulness_column,parsed_receiver_time_column,received_packets_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row
TXA,N01,64,64,0,1.0,33.6,0.525,,usefulness,478,0,481,123 229 260 281,4,251.4,0.5259414225941422,1008.4025157232704,seq,usefulness,recv_ms,7.46875,3.928125,3.928125
TXB,N16,64,32,32,0.5,25.92,0.81,,usefulness,241,0,240,,0,195.12,0.8096265560165975,2000.0333333333333,seq,usefulness,recv_ms,7.53125,3.04875,6.0975
